,seller_id,order_completion_day,label
0,0015a82c2db000af6aaaf3ae2ecb0532,10.666666666666666,üç
1,001cca7ae9ae17fb1caed9dfb1094831,13.492063492063492,beş
2,002100f778ceb8431b7a1020ff7ab48f,16.545454545454547,altı
3,004c9cd9d87a3c30c522c48c4fc07416,14.947368421052632,beş
4,00720abe85ba0859807595bbf045a33b,14.555555555555555,beş
5,00ab3eff1b5192e5f1a63bcecfee11c8,9.0,iki
6,00d8b143d12632bad99c0ad66ad52825,7.0,bir
7,00ee68308b45bc5e2660cd833c3f81cc,10.046728971962617,üç
8,00fc707aaaad2d31347cf883cd2dfe10,15.271739130434783,beş
9,010543a62bd80aa422851e79a3bc7540,9.0,iki
10,011b0eaba87386a2ae96a7d32bb531d1,25.0,altı
11,01266d4c46afa519678d16a8b683d325,6.0,bir
12,013900e863eace745d3ec7614cab5b1a,12.380952380952381,dört
13,014c0679dd340a0e338872e7ec85666a,20.916666666666668,altı
14,014d9a685fd57276679edd00e07089e5,9.25,iki
15,0176f73cc1195f367f7b32db1e5b3aa8,13.4,beş
16,01bcc9d254a0143f0ce9791b960b2a47,12.7,dört
17,01c97ebb5cdac52891c0ed1c37ba0012,13.777777777777779,beş
18,01cf7e3d21494c41fb86034f2e714fa1,11.844827586206897,dört
19,01ed254b9ff8407dfb9d99ba1e17d923,6.6,bir
20,01fd077212124329bac32490e8ef80d9,7.892857142857143,iki
21,01fdefa7697d26ad920e9e0346d4bd1b,10.68503937007874,üç
22,0241d4d5d36f10f80c644447315af0bd,11.126696832579185,dört
23,0249d282d911d23cb8b869ab49c99f53,10.5,üç
24,024b564ae893ce8e9bfa02c10a401ece,10.0,üç
25,028872bfa080090a9d0abd4f1af168f8,16.0,beş
26,02b72cdeb9cfcc429f1af6f4e3f3b737,12.5,dört
27,02c988090b766852e088c69d7fb3b551,9.727272727272727,üç
28,02d35243ea2e497335cd0f076b45675d,28.833333333333332,altı
29,02dcd3e8e25bee036e32512bcf175493,16.5,altı
30,02ecc2a19303f05e59ce133fd923fff7,11.473684210526315,dört
31,02f5837340d7eb4f653d676c7256523a,9.6,üç
32,02f623a8eb246f3c5f7c2f96462654e6,8.409090909090908,iki
33,0307f7565ff85b299b6e5ef162b1b1a9,15.166666666666666,beş
34,034b9387752bfa309f350a70cd45ffa3,8.5,iki
35,038b75b729c8a9a04b0d07cba7eabe86,22.5,altı
36,039b29ff3b3473435d0cd59040575de9,9.0,iki
37,039e6ad9dae79614493083e241147386,14.4,beş
38,03a2a6dcbe45d639c4dc2a0d24769c40,10.555555555555555,üç
39,03bd479e1d9484cdb14104d3023f7321,19.0,altı
40,0417b067eeab773d2f7061a726dc477f,17.818181818181817,altı
41,042573af89b6d931f672efaf789d8358,28.5,altı
42,04308b1ee57b6625f47df1d56f00eedf,18.869565217391305,altı
43,0432ead42b6c8a0bdf68154add917fdf,8.972602739726028,iki
44,044668ccd5316b12a7cf0d54a156e3e9,7.666666666666667,iki
45,048c2757535328e0d7dac690ad3c0aae,18.489795918367346,altı
46,04aa0a1c5ce6b222003403a3e11c3cc0,17.77777777777778,altı
47,04aba03279157f6d4e0fe8ccaf21963c,11.533333333333333,dört
48,04e38a233f726ef161074ab1c9b0399a,12.222222222222221,dört
49,04ee0ec01589969663ba5967c0e0bdc0,3.0,bir
50,04fdea0c111866e6cf812f1570d6b5bd,17.875,altı
51,0509040ea3fe50071181bbc359eb7738,11.552941176470588,dört
52,052577151711aec5c744fe12e66db3e1,14.0,beş
53,054694fa03fe82cec4b7551487331d74,30.9,altı
54,056b4ada5bbc2c50cc7842547dda6b51,12.666666666666666,dört
55,0570350b23eda5444f8d1d9544932058,5.4,bir
56,05730013efda596306417c3b09302475,11.0,üç
57,058cb5aeb36d7c0fcae20fc85d5e0a59,10.1,üç
58,058fd0aa2bfdb2274e05e1ae971dabb6,10.140350877192983,üç
59,05a48cc8859962767935ab9087417fbb,11.0,üç
60,05a940b4ecae36cadfd8e93bd9c43257,13.375,beş
61,05ca864204d09595ae591b93ea9cf93d,5.0,bir
62,05d2173d43ea568aa0540eba70d2ca76,15.327586206896552,beş
63,05e107217c7266362fd44b75b2cd4cc4,8.2,iki
64,05f51e13da97139648b8125c31e5f51b,12.6,dört
65,05feb94f19d094d4b0f9281f0b1d4c99,15.166666666666666,beş
66,05ff92fedb5be47920fea08e501238b9,12.381818181818181,dört
67,062c325cd6a2b87845fab56b4ec2eeae,5.5,bir
68,062ce95fa2ad4dfaedfc79260130565f,13.098039215686274,beş
69,06532f10282704ef4c69168b914b77be,17.0,altı
70,06579cb253ecd5a3a12a9e6eb6bf8f47,9.517241379310345,üç
71,066a6914e1ebf3ea95a216c73a986b91,13.65625,beş
72,0691148aee60ca47977c187804f935ae,11.688888888888888,dört
73,0692610d8abe24f287e9fae90ea0bbee,6.5,bir
74,06a2c3af7b3aee5d69171b0e14f0ee87,17.708661417322833,altı
75,06bb3a2fe5e7b7a845b13e8fb91bd944,8.6875,iki
76,06df0c10d34e459d9672bc77388742eb,10.076923076923077,üç
77,06e5eefc71ec47ae763c5c6f8db7064f,10.862068965517242,üç
78,07017df32dc5f2f1d2801e579548d620,10.0,üç
79,070d165398b553f3b4b851c216b8a358,13.52,beş
80,0725b8c0f3f906e58f70cbe76b7c748c,14.5,beş
81,0743a0239d764b9a0f959a57d07e36ab,5.25,bir
82,0747d5bb69f0586cc869d8af4c50f93e,14.0,beş
83,0761743cbffb25d7148189e9f1a5f03a,13.0,dört
84,077c5fae4bea9500e3737b16f71b9d3a,8.25,iki
85,0791d9fc1e30678ecf03d3e55fa108d3,8.25,iki
86,079d295dcbf06ee8bb1b65ba964eb2b6,9.0,iki
87,07bf9669d84d1f11be443a9dd938f698,8.5625,iki
88,07d75e33f2750d97d467fb57e4dfdd8a,11.5,dört
89,07de60b03d150fb3ea09eab5da5e4c8b,14.125,beş
90,07e8e8fc5222bb358e6f259da3197074,8.5,iki
91,080102cd0a76b09e0dcf55fcacc60e05,9.728813559322035,üç
92,080199a181c46c657dc5aa235411be3b,7.891891891891892,iki
93,08061dc0fc165ed41288cc7acde738ee,20.0,altı
94,08084d990eb3f53af056ccbc1730c8a7,8.454545454545455,iki
95,081acf3de680d554796c9cf041be7bc2,18.0,altı
96,082e0bf4cb865a6533b1e8e498cc0255,19.166666666666668,altı
97,085f6f7e049c996695fb2074fe38d45e,10.333333333333334,üç
98,08633c14ef2db992c11f840f04fad4cd,10.043478260869565,üç
99,0873d9f8f36123f8d910f4760e788cfb,16.666666666666668,altı
